userid,articleid,timestamp
2,101,2025-01-11
5,108,2025-02-06
3,104,2024-09-27
12,118,2025-01-21
10,114,2024-08-23
1,103,2024-08-09
4,117,2024-09-25
1,118,2025-01-02
12,118,2024-09-20
4,115,2024-11-16
5,101,2024-12-29
13,106,2025-02-11
7,111,2025-01-26
3,107,2024-10-11
6,104,2025-02-12
7,104,2024-08-24
14,112,2024-10-31
5,102,2025-01-02
8,118,2025-02-03
15,113,2024-09-01
9,110,2024-08-21
11,120,2025-03-01
14,112,2025-03-15
4,103,2024-12-26
11,108,2024-08-12
5,103,2025-02-14
4,104,2025-03-07
5,115,2024-11-06
14,112,2025-01-10
6,112,2024-09-11
11,109,2024-09-23
15,103,2025-01-27
11,106,2025-01-03
12,108,2024-12-15
8,113,2024-09-11
15,118,2024-10-09
11,111,2024-09-26
13,102,2025-03-04
14,102,2024-09-28
6,113,2025-02-23
2,107,2024-10-08
10,111,2025-03-22
11,116,2024-09-24
15,115,2024-11-10
5,105,2024-09-06
12,118,2024-10-03
5,119,2024-12-16
15,119,2024-11-18
6,108,2024-11-11
9,116,2024-09-05
13,102,2024-08-24
2,105,2025-03-09
3,114,2025-01-08
2,113,2024-12-31
10,115,2024-11-06
5,118,2024-12-14
1,104,2025-03-09
15,118,2025-01-22
5,111,2025-02-09
5,114,2024-08-29
8,101,2024-09-10
15,109,2025-02-01
13,106,2024-12-07
15,104,2024-12-08
11,110,2025-03-11
11,117,2025-03-04
4,105,2025-01-03
13,106,2024-11-04
13,117,2024-12-17
1,120,2025-03-24
8,101,2024-10-22
15,112,2024-08-29
14,110,2025-03-13
1,108,2024-10-01
10,103,2025-03-13
12,116,2024-08-22
2,118,2025-02-25
3,105,2025-02-13
8,118,2025-01-16
5,117,2024-09-12
10,114,2025-03-12
15,118,2024-09-24
12,107,2025-02-10
5,113,2025-01-30
11,112,2025-01-19
15,117,2024-11-21
2,108,2024-11-24
2,111,2024-09-27
10,118,2024-08-06
10,108,2024-09-28
2,102,2024-08-02
2,102,2024-09-28
6,103,2025-03-09
4,109,2024-12-10
8,107,2025-01-19
3,119,2024-12-17
8,108,2024-12-26
8,114,2025-02-17
2,104,2024-09-18
7,112,2025-01-16
7,115,2024-11-17
12,102,2025-03-10
11,104,2025-01-20
7,111,2024-08-16
14,104,2025-02-21
4,107,2024-10-03
8,105,2024-12-16
3,109,2024-11-17
4,103,2024-11-27
13,118,2024-11-22
1,118,2024-08-26
1,103,2025-03-03
13,108,2025-03-26
7,116,2024-09-12
4,113,2024-12-02
1,106,2025-03-20
1,113,2024-11-06
15,115,2024-10-07
7,118,2024-10-13
12,116,2025-01-17
4,110,2024-09-09
1,119,2024-09-25
9,102,2025-02-05
6,102,2025-02-08
10,116,2024-08-13
15,117,2024-12-07
1,117,2024-09-10
14,106,2024-08-21
10,103,2024-08-18
14,108,2025-01-20
2,119,2024-11-12
10,120,2024-10-03
10,103,2024-08-11
11,119,2024-11-16
9,111,2024-12-23
5,107,2025-03-28
12,111,2025-01-19
5,113,2024-10-01
11,110,2024-09-03
6,103,2024-11-26
8,120,2024-08-03
2,103,2024-12-23
4,117,2024-12-16
3,112,2024-10-07
2,108,2025-03-14
5,106,2024-11-03
14,118,2024-11-21
5,120,2025-01-28
11,117,2025-02-23
11,118,2024-08-03
15,104,2024-10-16
15,105,2025-03-29
2,104,2024-10-07
9,105,2025-02-07
5,120,2024-10-09
12,111,2024-09-23
11,109,2024-09-22
8,109,2024-12-08
15,102,2025-03-20
11,114,2024-08-24
5,102,2025-03-01
6,105,2024-08-01
5,106,2025-01-11
8,118,2025-02-06
7,118,2025-01-28
2,103,2024-08-03
15,105,2025-03-30
1,112,2024-12-18
9,105,2024-12-28
3,102,2024-11-19
6,102,2024-10-18
6,107,2025-03-19
4,104,2025-01-22
13,118,2024-10-30
14,114,2025-03-15
12,105,2025-01-06
15,108,2025-03-25
3,106,2025-03-10
7,101,2025-03-14
12,111,2024-09-15
15,114,2025-02-17
11,108,2025-02-22
3,104,2024-10-08
14,102,2024-11-06
8,108,2025-03-08
14,115,2024-09-21
5,108,2024-10-29
1,107,2024-09-27
6,109,2024-11-11
2,109,2025-03-10
11,117,2024-10-29
11,118,2024-11-11
1,104,2024-10-24
5,106,2025-03-13
5,102,2024-12-27
10,114,2024-08-28
12,111,2024-10-28
10,117,2024-11-20
7,119,2024-08-30
5,102,2024-09-18
7,101,2025-01-29
15,118,2024-12-12
12,107,2025-01-23
7,103,2024-11-02
11,111,2025-03-31
6,104,2025-01-07
15,110,2025-02-01
5,114,2024-12-08
7,110,2024-10-23
3,107,2024-12-20
11,113,2024-11-16
12,106,2025-01-21
10,110,2025-01-05
9,101,2024-11-12
5,107,2024-10-17
13,119,2024-11-19
11,111,2025-01-03
8,115,2024-11-28
4,117,2025-01-20
13,106,2024-11-30
2,110,2025-01-16
11,120,2024-12-10
2,108,2024-10-25
5,108,2025-01-20
4,105,2025-02-23
1,108,2024-08-07
10,103,2024-11-30
7,119,2024-11-25
12,113,2024-09-19
7,108,2024-12-05
11,101,2024-09-07
13,104,2025-03-17
7,108,2025-02-16
13,117,2024-09-15
1,118,2024-11-27
15,104,2024-10-03
3,115,2024-11-25
9,118,2025-01-18
6,115,2024-12-31
14,117,2025-01-04
14,118,2024-11-18
15,106,2024-11-23
14,116,2025-02-07
5,108,2024-11-24
11,109,2025-03-04
13,117,2025-02-13
11,108,2024-12-03
8,103,2024-10-10
5,108,2025-01-30
6,111,2024-10-09
9,103,2025-03-17
3,108,2024-09-05
12,105,2024-11-07
4,103,2025-01-28
7,111,2024-11-15
8,114,2024-12-17
4,114,2024-08-16
15,119,2024-11-08
12,101,2025-03-31
15,119,2025-03-08
8,101,2024-11-06
6,110,2025-03-30
7,114,2025-02-09
12,118,2024-12-16
10,108,2025-02-21
4,109,2024-12-03
8,101,2024-11-20
6,113,2024-11-08
3,115,2025-02-02
3,120,2025-03-24
1,113,2024-12-15
10,101,2024-12-30
11,114,2024-08-22
14,115,2024-09-04
1,109,2024-09-16
6,107,2024-11-06
6,111,2024-11-25
15,113,2025-02-11
13,114,2024-10-11
14,103,2024-10-04
1,118,2024-11-29
6,108,2024-08-14
2,102,2025-01-14
1,108,2025-02-10
14,101,2024-09-21
3,108,2025-01-07
8,104,2024-09-02
4,115,2024-12-23
5,112,2025-01-27
10,120,2024-09-12
12,104,2025-02-08
14,106,2025-02-16
2,119,2024-10-19
15,110,2024-08-07
11,113,2024-12-26
12,107,2024-11-10
10,108,2024-08-20
12,110,2024-08-27
11,120,2025-03-06
2,119,2025-02-23
1,112,2025-02-17
7,112,2024-12-15
9,111,2024-08-18
14,114,2024-08-04
8,104,2025-02-27
6,115,2024-11-19
3,114,2025-01-29
12,117,2024-09-15
5,120,2025-01-14
15,118,2025-02-23
8,115,2025-02-15
14,119,2024-11-20
6,108,2024-10-08
15,103,2025-03-01
15,115,2024-10-11
13,115,2024-10-02
10,113,2024-12-24
1,116,2024-10-26
6,106,2025-03-06
4,112,2024-12-03
5,111,2025-02-21
15,120,2024-10-11
15,109,2025-01-27
1,117,2024-12-21
4,103,2025-03-31
12,114,2024-10-01
9,108,2024-12-04
8,116,2025-01-24
13,101,2024-11-23
5,108,2024-08-24
12,108,2024-11-12
11,119,2024-10-18
8,118,2024-11-03
6,114,2024-12-14
9,111,2025-02-07
12,115,2024-10-30
5,109,2024-10-09
2,107,2024-09-29
2,118,2024-10-20
12,106,2025-02-12
4,116,2024-09-19
12,119,2024-10-10
9,120,2025-02-11
2,107,2024-10-12
4,112,2024-10-15
5,101,2024-09-15
9,105,2025-01-29
1,102,2024-10-10
5,105,2024-12-20
14,116,2025-01-11
14,101,2024-08-27
5,116,2024-12-25
8,111,2024-12-01
1,109,2024-09-17
14,116,2025-03-29
14,103,2024-08-30
8,103,2024-11-11
11,102,2024-12-26
3,119,2024-09-08
5,103,2025-03-31
2,118,2024-10-03
7,120,2025-02-12
13,120,2024-12-31
13,117,2024-09-27
8,115,2024-11-06
14,119,2024-10-16
5,119,2024-11-18
1,120,2025-01-06
2,107,2025-02-06
4,109,2025-01-08
2,106,2025-01-17
3,118,2024-10-01
3,101,2024-08-20
8,120,2024-11-13
5,102,2024-11-29
5,110,2024-09-29
14,115,2025-01-27
11,108,2024-08-19
5,119,2025-03-25
13,107,2025-01-17
2,118,2024-11-17
11,105,2024-09-27
5,105,2025-03-21
1,106,2024-08-19
5,120,2025-02-19
14,119,2025-02-08
5,115,2025-03-24
8,110,2024-09-01
7,109,2025-01-27
9,116,2024-12-07
2,120,2024-11-21
15,114,2024-08-11
6,120,2025-02-05
1,103,2024-10-04
11,119,2024-09-28
1,109,2024-12-29
1,106,2024-12-26
9,115,2024-11-29
5,106,2025-03-23
7,116,2024-12-28
